GDD,ID,Gene,Tissue,Exp
,,,,
2139,8-Hull,ptg000018l.2011,Hull,34.60201099
,,,,
2284,8-Hull,ptg000018l.2011,Hull,157.3376955
,,,,
2377,8-Hull,ptg000018l.2011,Hull,13.12322455
,,,,
2475,8-Hull,ptg000018l.2011,Hull,5.121901536
,,,,
2564,8-Hull,ptg000018l.2011,Hull,10.33761304
,,,,
865,8-Shell,ptg000018l.2011,Shell,211.2125294
,,,,
993,8-Shell,ptg000018l.2011,Shell,1828.398954
,,,,
1106,8-Shell,ptg000018l.2011,Shell,630.2573246
,,,,
1223,8-Shell,ptg000018l.2011,Shell,374.4314492
,,,,
1357,8-Shell,ptg000018l.2011,Shell,418.1463999
,,,,
1508,8-Shell,ptg000018l.2011,Shell,49.94092393
,,,,
1647,8-Shell,ptg000018l.2011,Shell,40.92305469
,,,,
1759,8-Shell,ptg000018l.2011,Shell,209.5182903
,,,,
1881,8-Shell,ptg000018l.2011,Shell,69.82101142
,,,,
2007,8-Shell,ptg000018l.2011,Shell,28.21630137
,,,,
2139,8-Shell,ptg000018l.2011,Shell,30.61733794
,,,,
1223,8-Kernel,ptg000018l.2011,Kernel,6.999063576
,,,,
1357,8-Kernel,ptg000018l.2011,Kernel,0
,,,,
1508,8-Kernel,ptg000018l.2011,Kernel,0.428900289
,,,,
1647,8-Kernel,ptg000018l.2011,Kernel,1.457464554
,,,,
1759,8-Kernel,ptg000018l.2011,Kernel,0
,,,,
1881,8-Kernel,ptg000018l.2011,Kernel,36.52292395
,,,,
2007,8-Kernel,ptg000018l.2011,Kernel,2.779785509
,,,,
2139,8-Kernel,ptg000018l.2011,Kernel,36.09586259
,,,,
2284,8-Kernel,ptg000018l.2011,Kernel,4.528341811
,,,,
2377,8-Kernel,ptg000018l.2011,Kernel,42.22234882
,,,,
2475,8-Kernel,ptg000018l.2011,Kernel,5.195408481
,,,,
2564,8-Kernel,ptg000018l.2011,Kernel,13.06625845
